Ignoring roster for [Chungnam] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Daegu] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Daejeon] in competition [2018 KeG Championship] as RL and R not equal: Earlgrey | Coach
Ignoring roster for [Gangwon] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeju] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeonbuk] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeonnam] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Ulsan] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Busan] in competition [2019 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Chungbuk] in competition [2019 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Daegu] in competition [2019 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Daejeon] in competition [2019 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gangwon] in competition [2019 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeonbuk] in competition [2019 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeonnam] in competition [2019 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Seoul] in competition [2019 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Chungnam] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Daegu] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gangwon] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gyeongbuk] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gyeonggi] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gyeongnam] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeju] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeonbuk] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Seoul] in competition [2020 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [PU Saint Goat] in competition [2021 Asia Esports Championship/Blue Magpie Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TOB (Taiwanese Team)] in competition [2021 Asia Esports Championship/Blue Magpie Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [HOW2Los] in competition [2021 Asia Esports Championship/Emerald Tree Frog Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [摸摸酥酥內嘿] in competition [2021 Asia Esports Championship/Emerald Tree Frog Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [2021 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Chungbuk] in competition [2021 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gyeongbuk] in competition [2021 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeonbuk] in competition [2021 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [先不要管隊名] in competition [2022 Asia Esports Championship/Blue Magpie Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [ADCZZZ] in competition [2022 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [小雪生日快樂] in competition [2022 Asia Esports Championship/Landlocked Salmon Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [EWT] in competition [2022 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [五個沒人要的] in competition [2022 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
